editor,issue_date,price,test,title,url
Coquetel,2017-11-15,12.90,"Quarta 15 Novembro, 2017","A Bela e a Fera - Para Desenhar, Colorir e Se Divertir",http://www.comix.com.br/product_info.php?products_id=30632
Pixel Art Book,2017-11-15,49.90,"Quarta 15 Novembro, 2017",Mass Effect andrômeda:Insurreição na Nexus,http://www.comix.com.br/product_info.php?products_id=30631
Pixel Art Book,2017-11-15,39.90,"Quarta 15 Novembro, 2017",O Mundo Do Batman,http://www.comix.com.br/product_info.php?products_id=30630
Pixel Art Book,2017-11-15,39.90,"Quarta 15 Novembro, 2017",Marvel O Mundo Do Homem Aranha,http://www.comix.com.br/product_info.php?products_id=30629
Pixel Art Book,2017-11-15,39.90,"Quarta 15 Novembro, 2017",O Mundo da Mulher Maravilha,http://www.comix.com.br/product_info.php?products_id=30628
Pixel Art Book,2017-11-15,29.90,"Quarta 15 Novembro, 2017",Carros 3 - A Historia Do Filme Em Quadrinhos,http://www.comix.com.br/product_info.php?products_id=30627
Panini,2017-11-15,39.90,"Quarta 15 Novembro, 2017",Álbum de Figurinhas Dragon Ball Z (Capa Dura) + 20 Figurinhas Avulsas,http://www.comix.com.br/product_info.php?products_id=30626
Coquetel,2017-11-15,14.90,"Quarta 15 Novembro, 2017","Mulher Maravilha - Coleção Crie, Pinte e Rabisque",http://www.comix.com.br/product_info.php?products_id=30625
Pixel Art Book,2017-11-15,44.90,"Quarta 15 Novembro, 2017",Tudo Sobre the Walking Dead (Livro),http://www.comix.com.br/product_info.php?products_id=30624
Pixel Art Book,2017-11-15,99.90,"Quarta 15 Novembro, 2017",Flash Gordon – O Tirano de Mongo (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30623
Pixel Art Book,2017-11-15,49.90,"Quarta 15 Novembro, 2017",Monstress – Despertar (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30622
Pipoca & Nanquim,2017-11-14,54.90,"Terça 14 Novembro, 2017",Um Pequeno Assassinato,http://www.comix.com.br/product_info.php?products_id=30621
Abril,2017-11-14,59.90,"Terça 14 Novembro, 2017",Disney  Os Anos de Ouro do Mickey - Na Idade da Pedra (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30620
Abril,2017-11-14,39.90,"Terça 14 Novembro, 2017",Manual Disney da Televisão (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30618
Mythos,2017-11-16,69.90,"Quinta 16 Novembro, 2017",Zumbis VS. Robôs,http://www.comix.com.br/product_info.php?products_id=30668
Mythos,2017-11-16,32.90,"Quinta 16 Novembro, 2017",Zagor Especial nº 59,http://www.comix.com.br/product_info.php?products_id=30667
Mythos,2017-11-16,23.90,"Quinta 16 Novembro, 2017",Tex - Edição de Ouro nº 93,http://www.comix.com.br/product_info.php?products_id=30666
Mythos,2017-11-16,9.90,"Quinta 16 Novembro, 2017",Tex Coleção nº 441,http://www.comix.com.br/product_info.php?products_id=30665
Panini,2017-11-16,30.00,"Quinta 16 Novembro, 2017",Combo Guerras Secretas Hulk,http://www.comix.com.br/product_info.php?products_id=30664
Sampa,2017-11-16,75.00,"Quinta 16 Novembro, 2017",Combo Um Sábado Qualquer (3 Livros),http://www.comix.com.br/product_info.php?products_id=30663
Panini,2017-11-16,82.90,"Quinta 16 Novembro, 2017",Combo Guerras Secretas Especiais Vol 02,http://www.comix.com.br/product_info.php?products_id=30662
Panini,2017-11-16,95.70,"Quinta 16 Novembro, 2017",Combo Guerras Secretas Especiais Vol 01,http://www.comix.com.br/product_info.php?products_id=30661
Panini,2017-11-16,23.70,"Quinta 16 Novembro, 2017",Combo Guerras Secretas O Velho Logan n° 01 ao 04,http://www.comix.com.br/product_info.php?products_id=30659
Panini,2017-11-16,53.40,"Quinta 16 Novembro, 2017",Combo Guerras Secretas Os Vingadores  n° 01 ao 04,http://www.comix.com.br/product_info.php?products_id=30658
Panini,2017-11-16,58.00,"Quinta 16 Novembro, 2017",Combo Guerras Secretas Homem Aranha nº 01 ao 04,http://www.comix.com.br/product_info.php?products_id=30657
Panini,2017-11-16,53.00,"Quinta 16 Novembro, 2017",Combo Guerras Secretas Guardiões da Galaxia n° 01 ao 04,http://www.comix.com.br/product_info.php?products_id=30656
Panini,2017-11-16,80.40,"Quinta 16 Novembro, 2017",Combo Guerras Secretas X-Men nº 01 ao 06,http://www.comix.com.br/product_info.php?products_id=30655
Panini,2017-11-16,13.90,"Quinta 16 Novembro, 2017",Tokyo Ghoul Re n° 01 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30654
Panini,2017-11-16,13.90,"Quinta 16 Novembro, 2017",Monster x Monster nº 01 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30653
Panini,2017-11-08,25.90,"Quarta 08 Novembro, 2017",Batman: Lendas do Cavaleiro das Trevas – Don Newton Vol. 02 (Pré-Venda),http://www.comix.com.br/product_info.php?products_id=30566
Panini,2017-11-08,21.90,"Quarta 08 Novembro, 2017",Cyborg (Renascimento) nº 1,http://www.comix.com.br/product_info.php?products_id=30565
